表一 2025年2月份全国出口商品贸易同比指数（HS2分类）,表一 2025年2月份全国出口商品贸易同比指数（HS2分类）,表一 2025年2月份全国出口商品贸易同比指数（HS2分类）,表一 2025年2月份全国出口商品贸易同比指数（HS2分类）,表一 2025年2月份全国出口商品贸易同比指数（HS2分类）
"Table 1 Index Number of Exports by HS2, Feb. 2025","Table 1 Index Number of Exports by HS2, Feb. 2025","Table 1 Index Number of Exports by HS2, Feb. 2025","Table 1 Index Number of Exports by HS2, Feb. 2025","Table 1 Index Number of Exports by HS2, Feb. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,97.9,100.1,98.1
1类,第一类 活动物；动物产品,99.8,99.9,99.7
01,第1章活动物,104.5,104.8,109.5
02,第2章肉及食用杂碎,93.5,123.3,115.2
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,97.9,96.5,94.5
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,92.8,121.7,113.0
05,第5章其他动物产品,116.0,90.9,105.4
2类,第二类 植物产品,97.6,116.6,113.8
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,111.4,114.6,127.7
07,第7章食用蔬菜、根及块茎,97.2,110.2,107.1
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,97.4,138.6,135.0
09,第9章咖啡、茶、马黛茶及调味香料,99.8,103.0,102.8
10,第10章谷物,111.4,78.5,87.5
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,81.1,174.5,141.5
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,92.3,110.2,101.7
13,第13章虫胶；树胶、树脂及其他植物液、汁,108.4,109.6,118.8
14,第14章编结用植物材料；其他植物产品,89.1,132.0,117.6
3类,第三类 动、植物油、脂、蜡；精制食用油脂,117.0,73.5,85.9
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,117.0,73.5,85.9
4类,第四类 食品；饮料、酒及醋；烟草及制品,96.2,105.1,101.1
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,101.9,111.0,113.1
17,第17章糖及糖食,97.8,97.4,95.3
18,第18章可可及可可制品,121.4,106.0,128.8
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,98.2,108.7,106.8
20,第20章蔬菜、水果、坚果或植物其他部分的制品,91.1,109.0,99.3
21,第21章杂项食品,92.0,118.7,109.2
22,第22章饮料、酒及醋,102.5,122.7,125.8
23,第23章食品工业的残渣及废料；配制的动物饲料,86.8,104.6,90.8
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,100.9,81.5,82.2
5类,第五类 矿产品,92.0,108.6,99.9
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,93.3,104.8,97.8
26,第26章矿砂、矿渣及矿灰,81.1,124.2,100.8
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,93.2,107.3,99.9
6类,第六类 化学工业及其相关工业的产品,95.4,111.5,106.3
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,93.2,100.3,93.5
29,第29章有机化学品,95.8,118.1,113.0
30,第30章药品,90.5,104.5,94.6
31,第31章肥料,98.3,211.7,208.0
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,92.6,116.9,108.2
33,第33章精油及香膏；芳香料制品及化妆盥洗品,102.3,90.3,92.4
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,100.6,107.9,108.6
35,第35章蛋白类物质；改性淀粉；胶；酶,99.6,113.7,113.2
36,第36章炸药；烟火制品；引火合金；易燃材料制品,91.2,167.4,152.7
37,第37章照相及电影用品,99.4,85.5,84.9
38,第38章杂项化学产品,94.9,98.7,93.7
7类,第七类 塑料及其制品；橡胶及其制品,90.7,102.4,92.8
39,第39章塑料及其制品,88.0,102.5,90.2
40,第40章橡胶及其制品,101.3,102.1,103.4
8类,第八类 革、毛皮及制品；箱包；肠线制品,80.2,81.3,65.2
41,第41章生皮（毛皮除外）及皮革,94.0,138.3,130.0
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,79.4,79.7,63.3
43,第43章毛皮、人造毛皮及其制品,143.8,102.9,148.0
9类,第九类 木及制品；木炭；软木；编结品,87.0,92.8,80.7
44,第44章木及木制品；木炭,87.8,93.3,81.9
45,第45章软木及软木制品,86.8,168.0,145.8
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,79.4,87.1,69.1
10类,第十类 木浆等；废纸；纸、纸板及其制品,85.7,105.6,90.5
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,96.2,111.4,107.2
48,第48章纸及纸板；纸浆、纸或纸板制品,84.5,106.2,89.7
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,95.1,100.0,95.1
11类,第十一类 纺织原料及纺织制品,93.8,79.0,74.1
50,第50章蚕丝,102.7,91.5,94.1
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,102.0,75.4,76.9
52,第52章棉花,92.3,79.8,73.6
53,第53章其他植物纺织纤维；纸纱线及其机织物,103.1,44.4,45.8
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,94.5,78.9,74.5
