表十三 2023年8月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年8月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年8月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年8月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年8月份全国进口商品贸易同比指数（HS2分类）
"Table 13 Index Number of Imports by HS2,Aug. 2023","Table 13 Index Number of Imports by HS2,Aug. 2023","Table 13 Index Number of Imports by HS2,Aug. 2023","Table 13 Index Number of Imports by HS2,Aug. 2023","Table 13 Index Number of Imports by HS2,Aug. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
总指数,总指数,93.5,105.3,98.4
1类,第一类 活动物；动物产品,88.9,94.0,83.6
01,第1章活动物,78.9,72.2,57.0
02,第2章肉及食用杂碎,85.6,95.4,81.7
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,91.6,91.3,83.6
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,95.9,97.0,93.0
05,第5章其他动物产品,92.8,87.8,81.5
2类,第二类 植物产品,87.4,120.7,105.6
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,117.1,65.0,76.1
07,第7章食用蔬菜、根及块茎,81.8,113.8,93.1
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,99.3,127.8,126.9
09,第9章咖啡、茶、马黛茶及调味香料,102.9,65.1,67.0
10,第10章谷物,97.0,81.7,79.2
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,108.6,120.3,130.7
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,82.5,133.1,109.9
13,第13章虫胶；树胶、树脂及其他植物液、汁,91.1,78.0,71.0
14,第14章编结用植物材料；其他植物产品,85.8,91.1,78.1
3类,第三类 动、植物油、脂、蜡；精制食用油脂,70.8,138.6,98.1
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,70.8,138.6,98.1
4类,第四类 食品；饮料、酒及醋；烟草及制品,115.0,84.4,97.0
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,85.1,146.3,124.5
17,第17章糖及糖食,126.3,72.8,92.0
18,第18章可可及可可制品,109.9,99.3,109.2
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,119.1,73.3,87.3
20,第20章蔬菜、水果、坚果或植物其他部分的制品,105.8,109.6,116.0
21,第21章杂项食品,125.4,82.7,103.7
22,第22章饮料、酒及醋,115.6,104.4,120.7
23,第23章食品工业的残渣及废料；配制的动物饲料,101.3,85.9,86.9
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,118.9,72.3,85.9
5类,第五类 矿产品,86.2,126.6,109.1
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,69.0,112.5,77.6
26,第26章矿砂、矿渣及矿灰,109.2,114.2,124.7
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,78.2,133.1,104.1
6类,第六类 化学工业及其相关工业的产品,88.4,99.0,87.5
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,73.2,93.2,68.3
29,第29章有机化学品,92.3,107.2,99.0
30,第30章药品,80.1,113.1,90.6
31,第31章肥料,59.9,99.2,59.4
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,116.9,85.9,100.4
33,第33章精油及香膏；芳香料制品及化妆盥洗品,101.5,77.6,78.7
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,100.4,81.0,81.3
35,第35章蛋白类物质；改性淀粉；胶；酶,104.2,93.7,97.6
36,第36章炸药；烟火制品；引火合金；易燃材料制品,112.0,119.3,133.6
37,第37章照相及电影用品,101.8,104.2,106.0
38,第38章杂项化学产品,96.1,94.7,91.0
7类,第七类 塑料及其制品；橡胶及其制品,90.5,100.6,91.0
39,第39章塑料及其制品,90.5,100.3,90.7
40,第40章橡胶及其制品,90.6,102.1,92.4
8类,第八类 革、毛皮及制品；箱包；肠线制品,116.5,94.1,109.6
41,第41章生皮（毛皮除外）及皮革,93.4,110.5,103.3
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,130.1,80.1,104.2
43,第43章毛皮、人造毛皮及其制品,110.2,150.3,165.7
