表二 2024年11月份全国出口商品贸易同比指数（SITC2分类）,表二 2024年11月份全国出口商品贸易同比指数（SITC2分类）,表二 2024年11月份全国出口商品贸易同比指数（SITC2分类）,表二 2024年11月份全国出口商品贸易同比指数（SITC2分类）,表二 2024年11月份全国出口商品贸易同比指数（SITC2分类）
"Table 2 Index Number of Exports by SITC2,Nov. 2024","Table 2 Index Number of Exports by SITC2,Nov. 2024","Table 2 Index Number of Exports by SITC2,Nov. 2024","Table 2 Index Number of Exports by SITC2,Nov. 2024","Table 2 Index Number of Exports by SITC2,Nov. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,92.1,109.8,101.2
0,食品及活动物,93.8,114.6,107.6
00,活动物（03章动物除外）,95.5,107.0,102.2
01,肉及肉制品,94.1,125.7,118.3
02,乳品及蛋品,92.8,124.2,115.2
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,94.4,115.1,108.7
04,谷物及谷物制品,94.9,102.8,97.6
05,蔬菜及水果,92.2,114.7,105.7
06,糖、糖制品及蜂蜜,96.7,107.6,104.1
07,咖啡、茶、马黛茶、调味香料及其制品,96.1,110.3,106.0
08,动物饲料（不包括未碾磨谷物）,90.1,122.0,109.9
09,杂项食品,98.4,115.8,114.0
1,饮料及烟类,86.7,109.9,95.3
11,饮料,83.8,112.7,94.4
12,烟草及烟草制品,95.3,102.7,97.9
2,非食用原料（燃料除外）,99.0,104.9,103.8
21,生皮及生毛皮,113.9,176.6,201.1
22,含油子仁及果实,99.3,79.0,78.4
23,生橡胶（包括合成橡胶及再生橡胶）,105.7,112.8,119.2
24,软木及木材,86.5,95.1,82.3
25,纸浆及废纸,89.8,100.8,90.5
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,99.5,97.8,97.3
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,97.0,95.1,92.2
28,金属矿砂及金属废料,98.4,124.6,122.6
29,其他动、植物原料,99.0,112.3,111.2
3,矿物燃料、润滑油及有关原料,87.2,103.2,90.0
32,煤、焦炭及煤砖,81.5,63.2,51.5
33,石油、石油产品及有关原料,86.0,103.2,88.7
34,天然气及人造气,101.0,130.2,131.5
35,电力,100.0,136.4,136.4
4,动、植物油、脂及蜡,98.2,139.5,137.1
41,动物油、脂,140.4,65.0,91.3
42,初榨、精制或分离的固定植物油、脂,94.1,135.7,127.7
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,93.7,156.1,146.2
5-9,工业制品,94.9,111.7,106.0
5,化学品及有关产品,94.1,108.2,101.9
51,有机化学品,91.6,117.8,107.8
52,无机化学品,87.4,79.5,69.5
53,染料、鞣料及着色料,94.8,117.3,111.1
54,医药品,105.4,110.0,116.0
55,精油、香膏及芳香料;盥洗及光洁制品,96.7,117.9,114.0
56,肥料（272组货品除外）,101.6,91.4,92.9
57,初级形状的塑料,96.1,116.7,112.1
58,非初级形状的塑料,93.0,116.8,108.7
59,未列名化学原料及产品,92.6,102.5,95.0
6,按原料分类的制成品,92.6,115.0,106.5
61,皮革、皮革制品及已鞣毛皮,88.3,113.6,100.3
62,橡胶制品,97.8,104.4,102.1
63,软木及木制品（家俱除外）,88.9,119.0,105.8
64,纸、纸板及纸浆、纸或纸板制品,89.3,114.0,101.8
65,纺织纱线、织物未列名制品及有关产品,94.8,114.9,109.0
66,未列名非金属矿物制品,87.6,103.8,90.9
67,钢铁,87.4,121.1,105.9
68,有色金属,104.4,130.2,135.9
69,未列名金属制品,91.9,115.1,105.8
7,机械及运输设备,97.0,111.0,107.7
71,动力机械及设备,95.6,119.4,114.1
72,特种工业专用机械,101.4,115.9,117.5
73,金工机械,98.3,115.7,113.7
74,通用工业机械设备及零件,99.3,114.3,113.5
75,办公室用机械及自动数据处理设备,113.7,100.5,114.3
76,电信及声音的录制或重放装置及设备,97.2,104.1,101.2
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,92.1,116.1,106.9
78,陆路车辆（包括气垫式）,90.6,115.0,104.2
79,其他运输设备,108.2,99.9,108.2
8,杂项制品,91.2,109.7,100.0
81,活动房屋;卫生、水道、供热及照明装置,87.2,109.2,95.3
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,86.7,112.8,97.7
83,旅行用品、手提包及类似容器,89.3,107.6,96.1
84,服装及衣着附件,92.4,112.0,103.5
85,鞋靴,93.0,105.7,98.3
87,专业、科学及控制用仪器及设备,100.7,105.1,105.9
88,摄影器材及光学物品;钟表,98.6,106.2,104.8
89,未列名杂项制品,90.5,109.5,99.1
9,未分类的商品及交易品,125.8,101.0,127.1
97,金，非货币（不包括黄金矿砂及精矿）,135.1,203.6,275.0
98,其他,91.8,128.4,117.9
